Origin,Origin Name,Origin Country,Origin City,Destination,Destination Name,Destination Country,Destination City,Total Time,Aircraft Registration,Aircraft Description,Distance Flown
9L2,Edwards AF Aux North Base,United States,Edwards,KEDW,Edwards AFB,United States,Edwards,00:05:39,,Ultralight trike,8.8 Km
LFHO,Ardeche Meridionale,France,Aubenas,LFHO,Ardeche Meridionale,France,Aubenas,00:07:03,,Ultralight trike,0 Km
KEYE,Eagle Creek,United States,Indianapolis,KEYE,Eagle Creek,United States,Indianapolis,00:07:30,N36644,Douglas DC3,0 Km
U54,Bernard USFS,United States,Bernard,ID67,Lower Loon Creek,United States,Challis,00:10:35,N176CM,Cessna C172,19.9 Km
KMEV,Minden-Tahoe,United States,Minden,KMEV,Minden-Tahoe,United States,Minden,00:39:12,N88ZZ,DG 808s,0 Km
94R,Lackey Aviation,United States,Wharton,94R,Lackey Aviation,United States,Wharton,00:10:17,N700MS,Cessna C172,0 Km
EGPH,Edinburgh,United Kingdom,Edinburgh,EGPF,Glasgow,United Kingdom,Glasgow,00:24:37,NCRJ70,BOMBARDIER CRJ700,66.9 Km
LFLL,Saint Exupery,France,Lyon,LFML,Marseille-Provence,France,Marseille-Provence,01:05:14,N208LN,Cessna C208,254.6 Km
CYLY,Lytton,Canada,Lytton,CYKA,Kamloops,Canada,Kamloops,00:29:49,N123MS,Mooney M20T,94.4 Km
URKM,Maykop,Russia,Maykop,URMM,Mineralnyye Vody,Russia,Mineralnyye Vody,01:04:27,N71FS,BEECH BE58,243 Km
YPAD,Adelaide Intl,Australia,Adelaide,YMML,Melbourne Intl,Australia,Melbourne,03:17:51,N123MS,Mooney M20T,642.5 Km
0WN5,Potts Field,United States,North Cape,62C,Cindy Guntly Meml,United States,Franksville,00:05:20,,Ultralight trike,3.9 Km
FWNG,Hwange Main Camp Airstrip,Zimbabwe,Hwange,FWNG,Hwange Main Camp Airstrip,Zimbabwe,Hwange,00:43:55,,Ultralight trike,0 Km
KEYE,Eagle Creek,United States,Indianapolis,36II,Cliburn,United States,Brownsburg,00:25:37,NC77583,Piper J3,4.8 Km
36II,Cliburn,United States,Brownsburg,36II,Cliburn,United States,Brownsburg,00:13:37,NC77583,Piper J3,0 Km
FADN,Durban Intl,South Africa,Durban,FAJS,Johannesburg Intl,South Africa,Johannesburg,01:25:59,N327SW,BOEING B733,501.1 Km
DGAA,Kotoka Intl,Ghana,Accra,DNMM,Murtala Muhammed,Nigeria,Lagos,01:21:27,N327SW,BOEING B733,401 Km
36II,Cliburn,United States,Brownsburg,KEYE,Eagle Creek,United States,Indianapolis,00:16:14,NC77583,Piper J3,4.8 Km
36II,Cliburn,United States,Brownsburg,KEYE,Eagle Creek,United States,Indianapolis,00:04:20,NC77583,Piper J3,4.8 Km
36II,Cliburn,United States,Brownsburg,36II,Cliburn,United States,Brownsburg,00:18:22,NC77583,Piper J3,9.6 Km
36II,Cliburn,United States,Brownsburg,KEYE,Eagle Creek,United States,Indianapolis,00:13:58,NC77583,Piper J3,4.8 Km
LFHO,Ardeche Meridionale,France,Aubenas,LFHO,Ardeche Meridionale,France,Aubenas,00:07:00,,Ultralight trike,0 Km
9L2,Edwards AF Aux North Base,United States,Edwards,9L2,Edwards AF Aux North Base,United States,Edwards,00:07:19,N350KA,BEECH B350,0 Km
VVNB,Noibai Intl,Vietnam,Hanoi,ZBAA,Beijing Capital,China,Beijing,04:01:43,N327SW,BOEING B733,2327.5 Km
36II,Cliburn,United States,Brownsburg,KEYE,Eagle Creek,United States,Indianapolis,00:19:00,NC77583,Piper J3,4.8 Km
36II,Cliburn,United States,Brownsburg,KEYE,Eagle Creek,United States,Indianapolis,00:08:01,NC77583,Piper J3,4.8 Km
EKCH,Kastrup,Denmark,Copenhagen,EKBI,Billund,Denmark,Billund,01:02:28,BI246,BOEING B735,220.8 Km
9L2,Edwards AF Aux North Base,United States,Edwards,9L2,Edwards AF Aux North Base,United States,Edwards,00:06:26,N350KA,BEECH B350,0 Km
9L2,Edwards AF Aux North Base,United States,Edwards,KEDW,Edwards AFB,United States,Edwards,00:06:11,N350KA,BEECH B350,8.8 Km
9L2,Edwards AF Aux North Base,United States,Edwards,9L2,Edwards AF Aux North Base,United States,Edwards,00:29:03,N350KA,BEECH B350,0 Km
KOSH,Wittman Regl,United States,Oshkosh,KOSH,Wittman Regl,United States,Oshkosh,00:04:43,NC77585,Piper J3,0 Km
EGSS,Stansted,United Kingdom,London,EGLL,Heathrow,United Kingdom,London,00:41:04,C-WLPE,BOEING B763,66.1 Km
CYVR,Vancouver Intl,Canada,Vancouver,CYVR,Vancouver Intl,Canada,Vancouver,00:05:47,C-WLPE,BOEING B763,0 Km
CYVR,Vancouver Intl,Canada,Vancouver,CYVR,Vancouver Intl,Canada,Vancouver,01:39:59,C-WLPE,BOEING B763,0 Km
CYVR,Vancouver Intl,Canada,Vancouver,KSFO,San Francisco Intl,United States,San Francisco,02:13:21,C-WLPE,BOEING B763,1287.7 Km
CYVR,Vancouver Intl,Canada,Vancouver,CYVR,Vancouver Intl,Canada,Vancouver,01:03:07,C-WLPE,BOEING B763,0 Km
CYVR,Vancouver Intl,Canada,Vancouver,CYVR,Vancouver Intl,Canada,Vancouver,00:04:33,C-WLPE,BOEING B763,0 Km
CYVR,Vancouver Intl,Canada,Vancouver,KSFO,San Francisco Intl,United States,San Francisco,01:56:31,C-WLPE,BOEING B763,1287.7 Km
KBFI,Boeing Field-King Co Intl,United States,Seattle,CYVR,Vancouver Intl,Canada,Vancouver,00:47:34,C-WLPE,BOEING B763,196.3 Km
EGGD,Bristol,United Kingdom,Bristol,LFPG,Charles-de-Gaulle,France,Paris,01:43:51,C-WLPE,BOEING B763,459.3 Km
EBBR,Brussels National,Belgium,Brussels,EGLL,Heathrow,United Kingdom,London,00:50:10,C-WLPE,BOEING B763,351.5 Km
1T1,2 G Ranch,United States,Columbus,1T1,2 G Ranch,United States,Columbus,00:05:08,,Ultralight trike,0 Km
LIRF,Fiumicino,Italy,Rome,LIRN,Capodichino,Italy,Naples,00:34:38,I-HKSN,AIRBUS A321,199.6 Km
EGLL,Heathrow,United Kingdom,London,EBBR,Brussels National,Belgium,Brussels,00:56:45,C-WLPE,BOEING B763,351.5 Km
EICM,Galway,Ireland,Galway,EIIR,Inisheer,Ireland,Inisheer,00:30:02,HB-MES,Cessna C172,65.9 Km
EHAM,Schiphol,Netherlands,Amsterdam,EHRD,Rotterdam,Netherlands,Rotterdam,00:29:35,N737T,BOEING B738,45 Km
KBFI,Boeing Field-King Co Intl,United States,Seattle,CYVR,Vancouver Intl,Canada,Vancouver,00:53:07,C-WLPE,BOEING B763,196.3 Km
